Date,Open,High,Low,Close,AdjClose,Volume
2022-09-21,7125.00 ,7200.00 ,7100.00 ,7150.00 ,6463.64 ,26007500.00 
2022-09-20,7150.00 ,7250.00 ,7100.00 ,7175.00 ,6486.24 ,47337700.00 
2022-09-19,6950.00 ,7225.00 ,6925.00 ,7125.00 ,6441.04 ,52232700.00 
2022-09-16,7000.00 ,7050.00 ,6900.00 ,6900.00 ,6237.63 ,65885100.00 
2022-09-15,7125.00 ,7225.00 ,7050.00 ,7050.00 ,6373.24 ,63346200.00 
2022-09-14,7100.00 ,7300.00 ,7050.00 ,7150.00 ,6463.64 ,56832100.00 
2022-09-13,7025.00 ,7225.00 ,6950.00 ,7200.00 ,6508.84 ,70555900.00 
2022-09-12,6775.00 ,6975.00 ,6725.00 ,6975.00 ,6305.44 ,51563200.00 
2022-09-09,6675.00 ,6775.00 ,6625.00 ,6775.00 ,6124.63 ,31904200.00 
2022-09-08,6650.00 ,6750.00 ,6625.00 ,6650.00 ,6011.63 ,39405200.00 
2022-09-07,6800.00 ,6875.00 ,6625.00 ,6650.00 ,6011.63 ,77218400.00 
2022-09-06,6875.00 ,6950.00 ,6850.00 ,6900.00 ,6237.63 ,18626800.00 
2022-09-05,6900.00 ,6925.00 ,6850.00 ,6875.00 ,6215.03 ,24953800.00 
2022-09-02,6950.00 ,7000.00 ,6875.00 ,6925.00 ,6260.23 ,26077700.00 
2022-09-01,6975.00 ,7025.00 ,6900.00 ,6925.00 ,6260.23 ,36691900.00 
2022-08-31,6875.00 ,6975.00 ,6775.00 ,6975.00 ,6305.44 ,55714900.00 
2022-08-30,6850.00 ,7025.00 ,6850.00 ,6900.00 ,6237.63 ,45566100.00 
2022-08-29,6800.00 ,6900.00 ,6750.00 ,6825.00 ,6169.83 ,29722100.00 
2022-08-26,6975.00 ,7025.00 ,6850.00 ,6875.00 ,6215.03 ,31120500.00 
2022-08-25,7050.00 ,7050.00 ,6950.00 ,6975.00 ,6305.44 ,22793800.00 
2022-08-24,6925.00 ,7050.00 ,6900.00 ,7050.00 ,6373.24 ,30605000.00 
2022-08-23,6900.00 ,7025.00 ,6850.00 ,6975.00 ,6305.44 ,56381000.00 
2022-08-22,6875.00 ,6925.00 ,6800.00 ,6925.00 ,6260.23 ,48266600.00 
2022-08-19,6975.00 ,7000.00 ,6900.00 ,6975.00 ,6305.44 ,32914500.00 
2022-08-18,6975.00 ,7000.00 ,6850.00 ,6975.00 ,6305.44 ,25190000.00 
2022-08-16,6875.00 ,7050.00 ,6875.00 ,6975.00 ,6305.44 ,61907800.00 
2022-08-15,6925.00 ,6950.00 ,6800.00 ,6875.00 ,6215.03 ,35283300.00 
